ANO,MES,COD_NCM,COD_UNIDADE,COD_PAIS,SG_UF,COD_VIA,COD_URF,VL_QUANTIDADE,VL_PESO_KG,VL_FOB,MOVIMENTACAO
2020,11,21011110,21,97,SP,7,147600,159,159474,799072,Exportação
2020,9,19053200,10,163,AL,0,430151,10,10,4,Exportação
2020,5,73151900,10,676,SP,0,817600,6,6,37,Exportação
2020,9,9101100,10,249,ES,1,717600,820568,820568,950702,Exportação
2020,6,11010010,10,77,RS,0,1017700,100,100,61,Exportação
2020,1,21032010,10,77,SC,0,927700,20,20,9,Exportação
2020,8,38140090,10,63,SC,7,1017500,5596,5596,10081,Exportação
2020,12,87089990,10,169,SP,1,817800,3111,3111,53451,Exportação
2020,2,64029990,13,65,SP,4,817600,55,55,2688,Exportação
2020,6,84122110,11,97,SP,7,147600,81,12449,37273,Exportação
2020,10,82055900,10,586,RS,7,917500,6872,6872,32312,Exportação
2020,10,94051093,10,97,SP,7,147600,762,762,24229,Exportação
2020,7,87085099,10,169,SP,1,817800,17524,17524,160239,Exportação
2020,2,48202000,10,538,SP,0,817800,12,12,38,Exportação
2020,4,21031010,10,607,SP,0,817800,43,41,229,Exportação
2020,5,90189099,11,249,PR,0,817700,6,0,142,Exportação
2020,9,39172900,10,59,RS,1,1017700,4,4,174,Exportação
2020,7,85369090,11,628,SP,1,817800,7,1040,200,Exportação
2020,11,49111090,10,493,SP,4,817600,3,3,43,Exportação
2020,12,20011000,10,97,PR,7,147600,4883,4883,12673,Exportação
2020,2,39261000,10,586,SP,7,917500,19,19,227,Exportação
2020,4,38249939,10,239,SC,0,927700,2,2,53,Exportação
2020,12,8071900,10,580,MA,0,317903,722,722,717,Exportação
2020,1,20098990,10,580,PR,0,917800,54,54,100,Exportação
2020,4,63079010,10,434,PA,0,217800,6,6,76,Exportação
2020,7,32082019,10,63,SP,0,817800,8583,8583,21992,Exportação
2020,11,84143091,11,493,SP,0,817600,1,8,166,Exportação
2020,11,19023000,10,163,AM,0,227600,17,17,116,Exportação
2020,12,85369090,11,493,BA,1,817800,4,0,6,Exportação
2020,9,68042219,10,434,SP,0,717600,1,1,63,Exportação
2020,1,90269010,10,756,RS,1,927800,2,2,210,Exportação
2020,8,85423190,11,63,SP,7,1017500,40,0,136,Exportação
2020,11,68029390,10,249,ES,1,727600,2914606,2937766,1751733,Exportação
2020,11,62042300,11,586,SC,7,917500,1583,156,5430,Exportação
2020,11,70072100,11,586,PR,15,917500,88,2643,5264,Exportação
2020,10,84283300,11,249,ES,1,717600,8,1321,414,Exportação
2020,4,39269010,10,586,SP,7,917500,2,2,487,Exportação
2020,10,85369040,11,586,SP,7,917500,7876,39,8370,Exportação
2020,7,39173229,10,764,SP,4,817700,3,3,92,Exportação
2020,1,52051200,10,169,SP,1,817800,35320,35320,81192,Exportação
2020,6,22084000,17,586,SP,7,147800,213852,213156,175472,Exportação
2020,9,7070000,10,538,SC,0,927700,30,30,57,Exportação
2020,12,21011190,21,23,ES,1,817800,1,770,38475,Exportação
2020,12,4029900,10,399,RS,0,1017700,21,21,35,Exportação
2020,2,72052990,10,63,SP,7,1017500,30000,30000,28372,Exportação
2020,7,85432000,11,589,RS,4,817700,4,1,1640,Exportação
2020,3,40103200,10,756,SP,1,817800,4,4,118,Exportação
2020,5,39232190,10,467,MA,0,317903,14,13,178,Exportação
2020,2,84814000,11,589,SC,0,817700,2,10,19,Exportação
2020,8,39100019,10,361,SC,4,817600,800,800,5600,Exportação
2020,9,40021919,10,63,PE,1,417902,2190,2190,2282,Exportação
2020,1,21039091,10,467,AM,0,227600,3,3,59,Exportação
2020,5,84819090,10,63,SP,4,817700,215,84,15794,Exportação
2020,7,84212300,11,158,SP,4,817700,4169,2919,45161,Exportação
2020,12,40118090,11,586,SP,7,147800,27,2333,9940,Exportação
2020,1,42022900,11,249,SP,0,817700,1,1,503,Exportação
2020,2,32141010,10,63,PR,1,917800,2,2,63,Exportação
2020,4,2023000,10,351,MT,1,817800,1569664,1569664,6000719,Exportação
2020,6,76069100,10,586,PR,7,917500,1871,1871,5720,Exportação
2020,11,64041900,13,69,RS,0,1017700,312,129,4589,Exportação
2020,7,73181400,10,493,RS,4,817700,93,93,810,Exportação
2020,1,85442000,10,63,MG,7,1017503,304,301,18163,Exportação
2020,9,82054000,10,345,RS,1,1017700,95,95,565,Exportação
2020,7,73151210,10,275,PR,1,917800,1,1,52,Exportação
2020,11,73151900,10,249,SP,4,817700,8,8,133,Exportação
2020,6,33049990,10,196,SP,4,817700,60,60,6876,Exportação
2020,2,11022000,10,40,PR,1,917800,4675000,4675000,1238040,Exportação
2020,3,87089490,10,317,SP,4,817600,16,16,276,Exportação
2020,9,64035190,13,628,RS,1,817800,446,376,27321,Exportação
2020,5,2071400,10,351,MG,0,817800,82890,82890,55722,Exportação
2020,9,85437099,11,538,PR,1,917800,1,2152,410918,Exportação
2020,2,34021900,10,63,SP,1,817800,138550,138550,109712,Exportação
2020,1,85444900,10,589,SP,0,817600,7,0,570,Exportação
2020,9,2071400,10,776,PR,1,927800,33480,33480,26294,Exportação
2020,11,15021019,10,383,MS,1,927800,24606,24606,22145,Exportação
2020,2,91040000,11,628,SP,1,817800,75,7,525,Exportação
2020,7,84733099,10,845,MG,7,1010252,17,17,537,Exportação
2020,2,7102900,10,476,MA,0,317903,65,65,118,Exportação
2020,2,9109100,10,249,ES,4,817600,1,1,12,Exportação
2020,10,82119210,11,467,CE,0,420154,2,2,25,Exportação
2020,4,32041100,10,586,SP,0,917500,400,400,2300,Exportação
2020,4,4090000,10,249,SC,0,927800,365549,365549,657487,Exportação
2020,3,10063019,10,160,PR,0,917800,650,650,687,Exportação
2020,2,73269090,10,361,SP,1,817800,447,483,7128,Exportação
